Title,Activity Type,Description,Rating,Reviews,Phone,WhatsApp,Instagram,Facebook,Industry,Address,Website,Image,Amenities,Latitude,Longitude,Google Maps Link
The Philippine Experience,Tourist Attraction / Cultural Tour,"An immersive cultural showcase celebrating Filipino traditions, food, and hospitality - a one-stop window into the soul of the Philippines.",5.0,(404),991 154 4725,https://wa.me/9911544725,https://instagram.com/ThePhilippineExperience,https://www.facebook.com/ThePhilippineExperience,Tourist attraction,0991 154 4725,https://www.thephilippineexperience.com/,,,11.1395274,119.4005879,
Panorama Experiences,Outdoor Adventure Organiser,Curated outdoor escapades led by local pros - built for travelers chasing those jaw-dropping Palawan panoramas.,5.0,(3),939 514 3922,https://wa.me/9395143922,,http://facebook.com/squarespace,Outdoor activity organiser,,https://www.panoramaexperiences.com/,,,11.157188,119.3983943,
Taraw Cliff,Natural Attraction / Hiking,El Nido's legendary jagged limestone giant - scale it at sunrise for the most heart-stopping view in Palawan.,4.5,(351),,,,,Tourist attraction,,,,,11.1790798,119.3888629,
Elnido Zipline - Palawan Zipline Adventure Inc.,Adventure Sports Center,Soar above turquoise waters and karst cliffs on one of the longest island ziplines in the Philippines - pure adrenaline with a postcard backdrop.,4.1,(457),950 884 0111,https://wa.me/9508840111,,,Adventure sports center,0950 884 0111,,,,11.1440792,119.3968286,
E-Bahay Nature Adventure Park,Amusement / Adventure Park,"A jungle-set adventure park stacked with zip rides, nature trails, and family-friendly thrills tucked into El Nido's wilder side.",4.2,(20),917 102 1505,https://wa.me/9171021505,,,Amusement park,0917 102 1505,,,,11.2042867,119.4818925,
El nido Adventures 360,Kayak & Canoe Rental,Paddle your own adventure - kayak rentals that let you slip into hidden lagoons and quiet coves on your own clock.,4.9,(174),976 539 0640,https://wa.me/9765390640,,https://www.facebook.com/profile.php?id=61582114619714,Canoe & kayak rental service,0976 539 0640,,,,11.1938421,119.4168424,
El Nido Via Ferrata Canopy Walk,Tourist Attraction / Climbing,A vertigo-inducing cliff walk along iron rungs and skybridges - climb the famous Taraw karst safely and live the view.,4.2,"(1,083)",(048) 723 3401,https://wa.me/0487233401,,,Tourist attraction,723 3401,,,,11.1775954,119.3902714,
Castaway Expeditions by Outpost Hostel El Nido,Tour Operator,"Beachfront tour outfit running island hopping, multi-day expeditions, and that signature castaway vibe with backpacker soul.",4.9,(786),969 479 8977,https://wa.me/9694798977,https://www.instagram.com/castawaytours.ph,https://www.facebook.com/castawaytours.ph,Tour operator,0969 479 8977,https://www.castawaytours.ph/,,Beachfront,11.1574768,119.3979489,
Papaya Beach,Beach / Natural Attraction,"A quiet, palm-fringed slice of sand perfect for a slow morning swim and a coconut in the shade.",4.7,(728),,,,,,,,,,11.1730073,119.3816015,
El Nido Tours Sea Quest - island hopping and expeditions to Coron.,Travel Agency / Island Hopping,From day-trip Tours A-D to legendary multi-day Coron expeditions - your full-service ticket to the Bacuit Archipelago.,4.8,"(2,118)",928 894 9483,https://wa.me/9288949483,https://instagram.com/elnido.tours,https://facebook.com/groups/elnidotours/,Travel agency,0928 894 9483,https://www.elnido-tours.com/,,,11.1648125,119.3985625,
